"daddr","time","Tracker Name","Tracker Category"
"c2shb.ssp.yahoo.com","1625968208147","VerizonMedia","Content"
"cdn.adnxs.com","1625935728314","AT&T","Advertising"
"cdn.adsafeprotected.com","1626039359983","Integral Ad Science","Advertising"
"cdn.amplitude.com","1626039593606","Amplitude","Analytics"
"cdn.appconsent.io","1625968193880","",""
"cdn.audiencesquare.com","1626008312347","",""
"cdn.bluebillywig.com","1626019158690","cdn.bluebillywig.com","Uncategorised"
"cdn.cookielaw.org","1625968247114","",""
"cdn.cwi.re","1626039384052","",""
"cdn.hubvisor.io","1625968210510","",""
"cdn.jsdelivr.net","1626039237310","",""
"cdn.jwplayer.com","1625989439618","",""
"cdn.laminutedericardo.com","1626039316717","",""
"cdn.mookie1.com","1625968201323","WPP","Advertising"
"cdn.parsely.com","1626039426215","Parse.ly","Analytics"
"cdn.printfriendly.com","1626018968003","",""
"cdn.registerdisney.go.com","1625968245605","",""
"cdn.snigelweb.com","1626015754536","cdn.snigelweb.com","Uncategorised"
"cdn.syndication.twimg.com","1625968684101","Twitter","Social"
"cdn.taboola.com","1625968208422","Taboola","Advertising"
"cdn.unitycms.io","1626030087749","",""
"cdn.watsondata.ch","1625989442344","",""
"cdn1.watson.ch","1625989433528","",""
"cdn1.watson.ch","1626019227315","",""
"cdnjs.cloudflare.com","1626019366799","Cloudflare","Content"
"ced-ns.sascdn.com","1626029782759","SmartAdServer","Advertising"
"ced.sascdn.com","1626039439379","SmartAdServer","Advertising"
"cloud.typography.com","1626019367041","",""
"cmp.lemonde.fr","1626039437907","",""
"code.jquery.com","1626015730231","",""
"collector.appconsent.io","1625968196779","",""
"collector.githubapp.com","1625969087120","collector.githubapp.com","Uncategorised"
"comcast.net","1626008164474","",""
"connect.facebook.net","1626039361029","Facebook","Social"
"consent.cookiebot.com","1625984813411","",""
"consent.google.com","1625968404103","Google","Content"
"consentcdn.cookiebot.com","1625984815473","",""
"content-autofill.googleapis.com","1625969460508","Google","Content"
"content-signature-2.cdn.mozilla.net","1625986463065","Mozilla","Uncategorised"
"content.videostep.com","1625986462398","",""
"contextual.sirdata.io","1626008312805","",""
"converto-525933609.eu-central-1.elb.amazonaws.com","1625988901692","Amazon Web Services","Content"
"coupons.com","1626008164758","",""
"creatives.sascdn.com","1626029782953","SmartAdServer","Advertising"
"csm.fr.eu.criteo.net","1625989316396","Criteo","Advertising"
"csm.nl.eu.criteo.net","1626039413595","Criteo","Advertising"
"csr.onet.pl","1626039410442","csr.onet.pl","Uncategorised"
"d16flass9kn9qb.cloudfront.net","1626008299140","Amazon.com","Content"
"d16xzee3r6otqf.cloudfront.net","1626039380399","Amazon.com","Content"
"d1i254ftm0zvcw.cloudfront.net","1626030049851","Amazon.com","Content"
"d1rkf0bq85yx06.cloudfront.net","1626019366931","Amazon.com","Content"
"d1unfn6ere3z8t.cloudfront.net","1626008299001","Amazon.com","Content"
"d1wigddrwdtsce.cloudfront.net","1626015757273","Amazon.com","Content"
"d22tagl2zbogba.cloudfront.net","1625968952851","Amazon.com","Content"
"d2azwga40durpr.cloudfront.net","1626030921639","Amazon.com","Content"
"d2rakammk68u2y.cloudfront.net","1626037745283","Amazon.com","Content"
"d2v8arzsefw7i2.cloudfront.net","1625968244157","Amazon.com","Content"
"d2wy8f7a9ursnm.cloudfront.net","1626019162081","Amazon.com","Content"
"d2y36guht5obaj.cloudfront.net","1625935668731","Amazon.com","Content"
"d2y36guht5obaj.cloudfront.net","1626039380886","Amazon.com","Content"
"d3lizf1yw938cm.cloudfront.net","1626008300881","Amazon.com","Content"
"d3pzzscukaol0q.cloudfront.net","1626019161831","Amazon.com","Content"
"d5p.de17a.com","1625935762572","Delta Projects","Advertising"
"d83eunklitikj.cloudfront.net","1625968988228","Amazon.com","Content"
"d9s8vru4m2rpq.cloudfront.net","1626039020826","Amazon.com","Content"
"dai046e8knt28.cloudfront.net","1625968918471","Amazon.com","Content"
"danzzntfzh3zw.cloudfront.net","1625968953611","Amazon.com","Content"
"darcs.meinungsplatz.ch","1625935761001","",""
"datawrapper.dwcdn.net","1626039174471","",""
"dcf.espn.com","1625968249923","",""
"diff.smartadserver.com","1626039440312","SmartAdServer","Advertising"
"digischool-pub.s3.eu-central-1.amazonaws.com","1626008312295","Amazon Web Services","Content"
"dis.criteo.com","1626019167033","Criteo","Advertising"
"dnacdn.net","1626039411832","",""
"drive.infomaniak.com","1626039091664","",""
"dsp.adfarm1.adition.com","1625935761630","ADITION","Advertising"
"dt.adsafeprotected.com","1626039366786","Integral Ad Science","Advertising"
"dualstack.sni.bigcartel.map.fastly.net","1626039169344","Fastly","Content"
"duplexer.wix.com","1626029984155","",""
"ebay.com","1626010112535","eBay","Advertising"
"embed.cwi.re","1626039384218","",""
"end.scorecardresearch.com","1626039427116","comScore","Analytics"
"engadget.com","1625984672605","VerizonMedia","Content"
"espn.com","1625984672155","",""
"espn.com","1626015902189","",""
"etudier-en-suisse.net","1626008294581","",""
"events.ocdn.eu","1626039381822","",""
"experience.tinypass.com","1625989440226","experience.tinypass.com","Uncategorised"
"fan.api.espn.com","1625968245813","",""
"fastlane.rubiconproject.com","1625968207158","RubiconProject","Advertising"
"fastmail.com","1626021567515","",""
"fastmail.com","1626018813356","",""
"fastmail.innocraft.cloud","1626017813698","",""
"feed-prod.unitycms.io","1625947473600","",""
"firebase-settings.crashlytics.com","1626037836156","Google","Analytics"
"firebaseinstallations.googleapis.com","1626037781571","Google","Content"
"firebaselogging-pa.googleapis.com","1625973605120","Google","Content"
"firefox.settings.services.mozilla.com","1626065955503","",""
"fonts.googleapis.com","1626017510613","Google","Content"
"fonts.gstatic.com","1626039382445","Google","Content"
"fooby.ch","1625968661049","",""
"fr-gmtdmp.mookie1.com","1625968205470","WPP","Advertising"
"fr.m.wikipedia.org","1626029855304","",""
"fr.wikipedia.org","1626005581370","",""
"fra1-ib.adnxs.com","1625989154017","AT&T","Advertising"
"gem.gbc.criteo.com","1626039412079","Criteo","Advertising"
"github.com","1626008340691","",""
"github.githubassets.com","1625969439112","",""
"go.microsoft.com","1626029879048","Microsoft","Content"
"gs-goldbach.da-services.ch","1626030101078","",""
"gum.criteo.com","1625989286096","Criteo","Advertising"
"hb-api.omnitagjs.com","1625968208161","AdYouLike","Advertising"
"hcaptcha.com","1626017468059","Cloudflare","FingerprintingInvasive"
"healthcare.gov","1626017114601","",""
"heidi-17455.kxcdn.com","1626065905293","",""
"heidi.news","1626039026633","",""
"heidi.news","1626039236180","",""
"hestialabs.org","1626017120613","",""
"hestialabs.org","1626039019930","",""
"homedepot.com","1626005520509","",""
"hotnewhiphop.com","1626005521406","",""
"htlb.casalemedia.com","1626030108236","Casale Media","Advertising"
"i.creativecommons.org","1625986688222","",""
"i.ytimg.com","1626039064284","Google","Uncategorised"
"ib.adnxs.com","1625986379429","AT&T","Advertising"
"idsync.rlcdn.com","1626019167071","TowerData","Advertising"
"il-trc-events.taboola.com","1625968214014","Taboola","Advertising"
"il.srgssr.ch","1626019472521","",""
"illiweb.com","1626015730257","",""
"imagemin.da-services.ch","1626029990278","",""
"images.outbrainimg.com","1626039557422","images.outbrainimg.com","Uncategorised"
"imagesrv.adition.com","1625935763998","ADITION","Advertising"
"img3.usefathom.com","1626017813689","img3.usefathom.com","Uncategorised"
"info-mq.infomaniak.com","1626019040283","",""
"j.sni.global.fastly.net","1626039416594","Fastly","Content"
"journals.openedition.org","1625986688032","",""
"js-sec.indexww.com","1626030009566","Index Exchange","Uncategorised"
"js.sentry-cdn.com","1625989011830","",""
"jwplayer-dualstack.map.fastly.net","1625992602920","Fastly","Content"
"k.r66net.com","1625986460515","k.r66net.com","Uncategorised"
"kwebstat.videostep.com","1625986461755","",""
"labs.letemps.ch","1626039407378","",""
"lemonde.fr","1626039345853","",""
"lemonde.idalgo-hosting.com","1626037721785","",""
"lib.onet.pl","1626039384067","",""
"licensebuttons.net","1625986689514","licensebuttons.net","Uncategorised"
"loadm.exelator.com","1626019167063","eXelate","Advertising"
"log.outbrainimg.com","1626065900142","log.outbrainimg.com","Uncategorised"
"login.infomaniak.com","1626019147485","",""
"ma252-r.analytics.edgekey.net","1626019385189","",""
"manager.infomaniak.com","1626019132308","",""
"match.adsrvr.org","1626019167030","The Trade Desk","FingerprintingGeneral"
"mcdp-nydc1.outbrain.com","1625969487522","Outbrain","Advertising"
"metrik.algorithmwatch.org","1626029907590","",""
"minimg.da-services.ch","1626029697294","",""
"myshop.20min.ch","1625968629122","",""
"nih.gov","1625968980846","",""
"nimbleswan.io","1626039252311","",""
"nitter.unixfox.eu","1625969439266","",""
"nitter.unixfox.eu","1626065952013","",""
"node5.ips.infomaniak.com","1626016236474","",""
"node7.ips.infomaniak.com","1626016689542","",""
"ocsp.digicert.com","1625935458387","",""
"ocsp.sectigo.com","1626015934951","",""
"optchk.ayads.co","1625968208886","Sublime Skinz","Advertising"
"pagead2.googlesyndication.com","1625968961941","Google","FingerprintingGeneral"
"paid.invibes.com","1625986473194","",""
"pbjs.sskzlabs.com","1625968208943","",""
"pbs.twimg.com","1625968960543","Twitter","Social"
"pexus.prod.tda.link","1626030116976","",""
"pixel.adsafeprotected.com","1626039380583","Integral Ad Science","Advertising"
"pixel.rubiconproject.com","1625935761634","RubiconProject","Advertising"
"pk.labocleo.org","1625986691481","",""
"pl02.owen.prolitteris.ch","1626019148260","",""
"platform.twitter.com","1626039250981","Twitter","Social"
"player.rts.ch","1626019386504","",""
"pm.w55c.net","1625935762501","DataXu","Advertising"
"pr-bh.ybp.yahoo.com","1626019167042","VerizonMedia","Advertising"
"prebid-server.rubiconproject.com","1625968208124","RubiconProject","Advertising"
"prg.smartadserver.com","1626029796040","SmartAdServer","Advertising"
"public.flourish.studio","1626039417599","",""
"px.adhigh.net","1625935762576","GetIntent","Advertising"
"px.ads.linkedin.com","1626039362567","LinkedIn","Social"
"r.sascdn.com","1626008309966","SmartAdServer","Advertising"
"r1---sn-nfpnnjvh-9and.googlevideo.com","1626039012376","Google","Uncategorised"
"r2---sn-1gieen7e.googlevideo.com","1626039011938","Google","Uncategorised"
"r2---sn-nfpnnjvh-9and.googlevideo.com","1626038116426","Google","Uncategorised"
"rb.revolvermaps.com","1625989420172","rb.revolvermaps.com","Uncategorised"
"rtsww-a-d.rts.ch","1626019386620","",""
"s.deepl.com","1626015756753","s.deepl.com","Uncategorised"
"s.go-mpulse.net","1625984798467","Akamai","Analytics"
"s.hs-data.com","1626029688378","",""
"s.w.org","1626030775509","",""
"s.ytimg.com","1626015902091","Google","Uncategorised"
"s0.2mdn.net","1626015737187","Google","FingerprintingGeneral"
"s1.adform.net","1626019161105","Adform","Advertising"
"s2.shared.global.fastly.net","1626065952276","Fastly","Content"
"s3-eu-west-1.amazonaws.com","1626008307139","Amazon Web Services","Content"
"s407.mxcdn.net","1625935760967","Meetrics","Uncategorised"
"sac.ayads.co","1625968205244","Sublime Skinz","Advertising"
"safebrowsing.googleapis.com","1625969238039","Google","Content"
"salesforce.com","1625988881476","Salesforce.com","Advertising"
"saxp.zedo.com","1625989418700","ZEDO","Advertising"
"sb.scorecardresearch.com","1626039375327","comScore","Analytics"
"script.hotjar.com","1626030857392","Hotjar","Analytics"
"search.services.mozilla.com","1625935458292","",""
"search.spotxchange.com","1625968208551","SpotXchange","Advertising"
"secure.gravatar.com","1626030765718","Automattic","Content"
"secure.quantserve.com","1626008309110","Quantcast","Advertising"
"secure.skypeassets.com","1625984700158","",""
"services.addons.mozilla.org","1625968277246","Mozilla","Uncategorised"
"sessions.bugsnag.com","1626019162077","Bugsnag","Uncategorised"
"sgqcvfjvr.onet.pl","1626039384227","",""
"shavar.services.mozilla.com","1626037731086","",""
"site.web.api.espn.com","1625968248706","",""
"siteassets.parastorage.com","1626029982336","",""
"siteimproveanalytics.com","1625984721138","Siteimprove","Uncategorised"
"snap.licdn.com","1626039360029","LinkedIn","Social"
"sp-im.org","1625986740653","",""
"srgsnitch.herokuapp.com","1626019388505","",""
"srgssr01.wt-eu02.net","1626019566897","",""
"ssl.p.jwpcdn.com","1625937351583","JW Player","Uncategorised"
"sslwidget.criteo.com","1626039411123","Criteo","Advertising"
"static.ads-twitter.com","1626015902160","Twitter","Advertising"
"static.adsafeprotected.com","1626039380994","Integral Ad Science","Advertising"
"static.chartbeat.com","1626019538736","Chartbeat","Analytics"
"static.criteo.net","1626039410920","Criteo","Advertising"
"static.hotjar.com","1626039375365","Hotjar","Analytics"
"static.idalgo.info","1626037722878","",""
"static.parastorage.com","1625935756930","",""
"static.r66net.com","1625968968991","",""
"static.wixstatic.com","1626029976782","",""
"stats.datawrapper.de","1626039177380","stats.datawrapper.de","Uncategorised"
"stats.g.doubleclick.net","1626039364650","Google","FingerprintingGeneral"
"stats.wp.com","1626015809129","stats.wp.com","Uncategorised"
"storage.googleapis.com","1626039415775","Google","Content"
"swc.cdn.skype.com","1625989310527","Microsoft","Content"
"swisscows.com","1626065959475","",""
"sync.mathtag.com","1625935761626","MediaMath","FingerprintingGeneral"
"syndication.twitter.com","1626039174294","Twitter","Social"
"t.co","1626026739324","Twitter","Uncategorised"
"tagger.opecloud.com","1626039384063","tagger.opecloud.com","Uncategorised"
"tags.bluekai.com","1626019167067","BlueKai","FingerprintingGeneral"
"tagservice.maximus.mobkoi.com","1626039380471","",""
"tcheck.outbrainimg.com","1625968908432","tcheck.outbrainimg.com","Uncategorised"
"tdn.da-services.ch","1625989282270","",""
"test.quantcast.mgr.consensu.org","1626008309949","test.quantcast.mgr.consensu.org","Uncategorised"
"time.idalgo.io","1626037723314","",""
"tlx.3lift.com","1625968207066","TripleLift","Advertising"
"tpc.googlesyndication.com","1625968955635","Google","FingerprintingGeneral"
"track.adform.net","1625993157124","Adform","Advertising"
"trackingfreeads.eu","1626017249441","",""
"translate.googleapis.com","1626008196211","Google","Content"
"trc-events.taboola.com","1625968205082","Taboola","Advertising"
"tredir.espn.com","1625968250603","",""
"tse1.explicit.bing.net","1626005556349","",""
"tse1.mm.bing.net","1626038189611","",""
"tt1.zedo.com","1625989420480","ZEDO","Advertising"
"tt3.zedo.com","1625989420139","ZEDO","Advertising"
"twemoji.maxcdn.com","1626015734633","StackPath","Uncategorised"
"u.videostep.com","1625968960964","",""
"unitythumb.appuser.ch","1625935750625","",""
"unityvideo.appuser.ch","1625935752199","",""
"upload.wikimedia.org","1626029855661","",""
"us-u.openx.net","1626019167852","OpenX","FingerprintingGeneral"
"vars.hotjar.com","1625968695935","Hotjar","Analytics"
"via.batch.com","1626039439071","Batch","Uncategorised"
"video.r66net.com","1625986470407","",""
"video.twimg.com","1625968832097","Twitter","Social"
"weather.da-services.ch","1626030098006","",""
"web-components.storage.infomaniak.com","1626019133403","",""
"webstat.2edaadmin.ch","1625984701818","",""
"welcome.infomaniak.com","1626065904523","",""
"whomakesthenews.org","1626039229820","",""
"widget-pixels.outbrain.com","1626039439573","Outbrain","Advertising"
"widgets.outbrain.com","1625985315556","Outbrain","Advertising"
"wiki.occidentalisme.com","1626015809256","",""
"www.cairn.info","1626015882508","",""
"www.cereq.fr","1625972716005","",""
"www.digischool.fr","1626008307643","",""
"www.eda.admin.ch","1625984703953","",""
"www.espn.com","1625968244482","",""
"www.etudionsaletranger.fr","1626008198023","",""
"www.facebook.com","1626017800946","Facebook","Social"
"www.facebook.com","1626039362446","Facebook","Social"
"www.faq.bag.admin.ch","1625984718800","",""
"www.fastmailusercontent.com","1626018833690","",""
"www.feiertagskalender.ch","1625989418314","",""
"www.google-analytics.com","1626011687385","Google","FingerprintingGeneral"
"www.google.ch","1625989856270","Google","Content"
"www.google.com","1626039367387","Google","Content"
"www.googleadservices.com","1625968814857","Google","FingerprintingGeneral"
"www.googletagmanager.com","1626039382756","Google","Uncategorised"
"www.googletagservices.com","1625937402992","Google","FingerprintingGeneral"
"www.huffingtonpost.fr","1626015883460","",""
"www.infomaniak.com","1626015897433","",""
"www.infomaniak.com","1626019138058","",""
"www.instagram.com","1626019141548","Facebook","Content"
"www.ipvc.pt","1626018980884","",""
"www.lachainemeteo.com","1625968226462","",""
"www.letemps.ch","1626039381665","",""
"www.limpertinentmedia.com","1626029940664","",""
"www.linguee.fr","1626015754000","",""
"www.linkedin.com","1626039361033","LinkedIn","Social"
"www.paypalobjects.com","1626029939823","",""
"www.rorvswild.com","1626039231040","",""
"www.rts.ch","1626019386403","",""
"www.watson.ch","1625986492775","",""
"www.watson.ch","1625986577853","",""
"www.wysistat.com","1625968217007","Wysistat","Analytics"
"www.zebrascrossing.net","1626015742545","",""
"www8.smartadserver.com","1625968207070","SmartAdServer","Advertising"
"x3ysn.mjt.lu","1626018901815","",""
"zuba.prod.tda.link","1625968958283","",""
"192.168.0.1","1625972540489","",""
"192.168.1.1","1626065959077","",""
"239.255.255.250","1626065786993","",""
"adservice.google.ch","1625990047600","Google","Content"
"firebase-settings.crashlytics.com","1625968640034","Google","Analytics"
"fonts.gstatic.com","1625968493694","Google","Content"
"static.chartbeat.com","1626019490335","Chartbeat","Analytics"
"www.facebook.com","1625990047150","Facebook","Social"
"www.google-analytics.com","1625990051760","Google","FingerprintingGeneral"
"a85134d98fd6f43ab950557b81243ab6-773509126.eu-west-1.elb.amazonaws.com","1625866694634","Amazon Web Services","Content"
"aax-us.amazon-adsystem.com","1625866730568","Amazon.com","Advertising"
"adservice.google.com","1625866799780","Google","FingerprintingGeneral"
"api.permutive.app","1625866728341","",""
"assets.afcdn.com","1625866724804","",""
"b.scorecardresearch.com","1625866884901","comScore","Analytics"
"bidder.criteo.com","1625866763300","Criteo","Advertising"
"c.amazon-adsystem.com","1625866693458","Amazon.com","Advertising"
"cdn.permutive.app","1625866719930","",""
"clientservices.googleapis.com","1625866693801","Google","Content"
"consent-manager-events.ogury.io","1625866824740","consent-manager-events.ogury.io","Uncategorised"
"d322cqt584bo4o.cloudfront.net","1625866782131","Amazon.com","Content"
"dualstack.k.sni.global.fastly.net","1625866718996","Fastly","Content"
"firebaseinstallations.googleapis.com","1625866693311","Google","Content"
"gum.criteo.com","1625866751780","Criteo","Advertising"
"mobile-1400.api.privacy-center.org","1625866709215","",""
"mobile.smartadserver.com","1625866764500","SmartAdServer","Advertising"
"mobileconfig.sascdn.com","1625866895620","SmartAdServer","Advertising"
"pad-v3.presage.io","1625866774340","Presage","Uncategorised"
"pub-sdk-cfg.criteo.com","1625866742820","Criteo","Advertising"
"sdk.kairosfire.com","1625866693718","",""
"sdk.privacy-center.org","1625866694099","",""
"ws.batch.com","1625866896660","Batch","Uncategorised"
acdn.adnxs.com,1625919747680,adnxs.com (AT&T),Advertising
cdn.gravito.net,1625908263376,,
cdn.krxd.net,1625928307595,krxd.net (Krux),FingerprintingGeneral
cmp-events.almamedia.tech,1625909673632,,
content.jwplatform.com,1625908327917,,
d1v0ltfdtoyorh.cloudfront.net,1625928697426,cloudfront.net (Amazon.com),Content
d1wlq29ei7938d.cloudfront.net,1625928695162,cloudfront.net (Amazon.com),Content
d22x160tylnfjq.cloudfront.net,1625928645659,cloudfront.net (Amazon.com),Content
d29usjoxiqvdpc.cloudfront.net,1625908330630,cloudfront.net (Amazon.com),Content
d2j4xe2cbdiwa3.cloudfront.net,1625928697242,cloudfront.net (Amazon.com),Content
d2ly6zhewrzsqf.cloudfront.net,1625928277518,cloudfront.net (Amazon.com),Content
d2mqczrhbrs0gr.cloudfront.net,1625928691372,cloudfront.net (Amazon.com),Content
d2otc2m5ul9uex.cloudfront.net,1625928698038,cloudfront.net (Amazon.com),Content
d2ue8wbbh5ekl9.cloudfront.net,1625928694330,cloudfront.net (Amazon.com),Content
d38wowf27oepqp.cloudfront.net,1625919747617,cloudfront.net (Amazon.com),Content
d3bkyy6rh45q8q.cloudfront.net,1625909672100,cloudfront.net (Amazon.com),Content
d3cdjjarcvj45p.cloudfront.net,1625919823070,cloudfront.net (Amazon.com),Content
d3nplhvgqatopx.cloudfront.net,1625908330959,cloudfront.net (Amazon.com),Content
d4dgdwhncmjfe.cloudfront.net,1625908433554,cloudfront.net (Amazon.com),Content
dnh8w7l7595h4.cloudfront.net,1625908258808,cloudfront.net (Amazon.com),Content
dr4fik3qjug8q.cloudfront.net,1625928272480,cloudfront.net (Amazon.com),Content
events.il.fi,1625908534839,,
firebase-settings.crashlytics.com,1625928239338,crashlytics.com (Google),Analytics
firebaseinappmessaging.googleapis.com,1625928550698,googleapis.com (Google),Content
firebaseinstallations.googleapis.com,1625908570714,googleapis.com (Google),Content
firebaseremoteconfig.googleapis.com,1625908253609,googleapis.com (Google),Content
fonts.gstatic.com,1625908540270,gstatic.com (Google),Content
hit.il.fi,1625908534787,,
keskustelu.iltalehti.fi,1625908539169,,
mediation.adnxs.com,1625928697983,adnxs.com (AT&T),Advertising
meta.almamedia.io,1625919661120,,
notifications.il.fi,1625919755374,,
platform.instagram.com,1625908454917,instagram.com (Facebook),Content
ssl.p.jwpcdn.com,1625908596962,jwpcdn.com (JW Player),Uncategorised
static.chartbeat.com,1625908597904,chartbeat.com (Chartbeat),Analytics
www.google-analytics.com,1625928694926,google-analytics.com (Google),FingerprintingGeneral
www.instagram.com,1625908455802,instagram.com (Facebook),Content
d1wlq29ei7938d.cloudfront.net,1625928695787,cloudfront.net (Amazon.com),Content
d2j4xe2cbdiwa3.cloudfront.net,1625928694219,cloudfront.net (Amazon.com),Content
d2ly6zhewrzsqf.cloudfront.net,1625928322869,cloudfront.net (Amazon.com),Content
